implementation,context_length,batch_size,split_kv,latency_ms_p50,latency_ms_p95,achieved_bw_gb_s,peak_bw_gb_s,bw_pct_of_peak,max_abs_err_vs_fp32
flashinfer,32768,1,1,0.1853,0.203,724.24,2000.0,36.21,1.4e-05
cuda_naive,32768,1,1,9.0624,9.0738,14.81,2000.0,0.74,1.1e-05
cuda_split_kv,32768,1,1,8.3159,8.3416,16.14,2000.0,0.81,1.1e-05
cuda_split_kv,32768,1,2,4.182,4.1986,32.1,2000.0,1.6,1.1e-05
cuda_split_kv,32768,1,4,2.1955,2.2027,61.14,2000.0,3.06,1.1e-05
cuda_split_kv,32768,1,8,1.2283,1.236,109.29,2000.0,5.46,1.1e-05
cuda_split_kv,32768,1,16,0.6861,0.6943,195.65,2000.0,9.78,1.1e-05
flashinfer,32768,4,1,0.4772,0.506,1125.22,2000.0,56.26,2e-05
cuda_naive,32768,4,1,9.3757,9.3984,57.27,2000.0,2.86,1.1e-05
cuda_split_kv,32768,4,1,8.5274,8.5403,62.97,2000.0,3.15,1.1e-05
cuda_split_kv,32768,4,2,4.48,4.5193,119.85,2000.0,5.99,1.1e-05
cuda_split_kv,32768,4,4,2.561,2.5734,209.66,2000.0,10.48,1.1e-05
cuda_split_kv,32768,4,8,2.5436,2.5642,211.09,2000.0,10.55,1.1e-05
cuda_split_kv,32768,4,16,2.4786,2.4873,216.63,2000.0,10.83,1.1e-05
flashinfer,32768,16,1,1.7183,1.7501,1249.95,2000.0,62.5,1.9e-05
cuda_naive,32768,16,1,11.1411,11.2241,192.78,2000.0,9.64,1.5e-05
cuda_split_kv,32768,16,1,10.1801,10.2728,210.98,2000.0,10.55,1.5e-05
cuda_split_kv,32768,16,2,10.1181,10.1909,212.27,2000.0,10.61,1.5e-05
cuda_split_kv,32768,16,4,9.8801,9.94,217.38,2000.0,10.87,1.5e-05
cuda_split_kv,32768,16,8,9.6788,9.6994,221.9,2000.0,11.1,1.5e-05
cuda_split_kv,32768,16,16,9.5273,9.5439,225.43,2000.0,11.27,1.5e-05
flashinfer,65536,1,1,0.2775,0.2929,967.38,2000.0,48.37,1.1e-05
cuda_naive,65536,1,1,18.0716,18.0942,14.85,2000.0,0.74,8e-06
cuda_split_kv,65536,1,1,16.5499,16.5727,16.22,2000.0,0.81,8e-06
cuda_split_kv,65536,1,2,8.3057,8.3191,32.32,2000.0,1.62,8e-06
cuda_split_kv,65536,1,4,4.3284,4.3439,62.02,2000.0,3.1,8e-06
cuda_split_kv,65536,1,8,2.4136,2.4259,111.23,2000.0,5.56,8e-06
cuda_split_kv,65536,1,16,1.3332,1.3435,201.35,2000.0,10.07,8e-06
flashinfer,65536,4,1,0.8484,0.8635,1265.71,2000.0,63.29,1.3e-05
cuda_naive,65536,4,1,19.0679,19.0956,56.31,2000.0,2.82,8e-06
cuda_split_kv,65536,4,1,17.2662,17.3241,62.19,2000.0,3.11,8e-06
cuda_split_kv,65536,4,2,8.9769,9.2725,119.62,2000.0,5.98,8e-06
cuda_split_kv,65536,4,4,5.0893,5.1078,210.99,2000.0,10.55,8e-06
cuda_split_kv,65536,4,8,5.0386,5.0607,213.12,2000.0,10.66,8e-06
cuda_split_kv,65536,4,16,4.907,4.9275,218.83,2000.0,10.94,8e-06
flashinfer,65536,16,1,3.1191,3.3609,1377.07,2000.0,68.85,1.1e-05
cuda_naive,65536,16,1,22.5971,22.678,190.08,2000.0,9.5,8e-06
cuda_split_kv,65536,16,1,20.862,21.085,205.89,2000.0,10.29,8e-06
cuda_split_kv,65536,16,2,20.5025,20.5826,209.5,2000.0,10.47,8e-06
cuda_split_kv,65536,16,4,20.1283,20.259,213.39,2000.0,10.67,8e-06
cuda_split_kv,65536,16,8,19.5569,19.6455,219.63,2000.0,10.98,8e-06
cuda_split_kv,65536,16,16,19.178,19.2185,223.97,2000.0,11.2,8e-06
